(2028,4.337353938937053,1242,2028,2.0,974832948,1242,F,35,0,10014)
(2028,4.337353938937053,2314,2028,3.0,974480275,2314,F,25,1,13210)
(2028,4.337353938937053,750,2028,4.0,975459218,750,F,35,9,13066)
(2028,4.337353938937053,1448,2028,4.0,976122412,1448,F,25,3,17522)
(2028,4.337353938937053,32,2028,3.0,978121667,32,F,25,0,19355)
(2028,4.337353938937053,5731,2028,3.0,958438176,5731,F,25,11,10022)
(2028,4.337353938937053,5087,2028,4.0,962397192,5087,F,25,6,19102)
(2028,4.337353938937053,1173,2028,5.0,974858485,1173,F,25,7,10019)
(2028,4.337353938937053,2608,2028,3.0,973727806,2608,F,25,1,10025)
(2028,4.337353938937053,687,2028,4.0,975599899,687,F,25,7,14136)
(2028,4.337353938937053,1602,2028,4.0,974733468,1602,F,25,7,10562)
(2028,4.337353938937053,5734,2028,4.0,958422846,5734,F,25,14,10022)
(2028,4.337353938937053,5035,2028,4.0,962552133,5035,F,25,17,19810)
(2028,4.337353938937053,2237,2028,4.0,974597001,2237,F,35,6,14905)
(2028,4.337353938937053,2907,2028,3.0,971815698,2907,F,35,5,12345)
(2028,4.337353938937053,2205,2028,3.0,974606783,2205,F,25,7,10016)
(2028,4.337353938937053,1301,2028,4.0,974786447,1301,F,25,2,10475)
(2028,4.337353938937053,30,2028,4.0,978121924,30,F,35,7,19143)
(2028,4.337353938937053,2801,2028,4.0,972831858,2801,F,25,3,12866)
(2028,4.337353938937053,3299,2028,3.0,968035456,3299,F,25,4,19119)
(2028,4.337353938937053,3532,2028,5.0,978227491,3532,F,35,14,10028)
(2028,4.337353938937053,1383,2028,5.0,975899061,1383,F,25,7,19806)
(2028,4.337353938937053,1958,2028,4.0,974690191,1958,F,25,1,17055)
(2028,4.337353938937053,24,2028,5.0,978132794,24,F,25,7,10023)
(2028,4.337353938937053,2070,2028,5.0,974658780,2070,F,35,6,13210)
(2028,4.337353938937053,5869,2028,5.0,999274363,5869,F,25,7,19103)
